case,run,result,records_extracted,matched_gt,steps,time_seconds
Before (class='.quote'),1,Failed,0,0,21,80.3
Before (class='.quote'),2,Success,10,10,13,198.1
Before (class='.quote'),3,Success,10,10,4,28.7
Before (class='.quote'),4,Failed,10,7,21,158.7
Before (class='.quote'),5,Failed,0,0,21,82.2
Before (class='.quote'),6,Success,10,10,7,52.1
Before (class='.quote'),7,Success,10,10,21,130.8
Before (class='.quote'),8,Failed,9,9,13,61.8
Before (class='.quote'),9,Success,10,10,12,119.7
Before (class='.quote'),10,Success,10,10,11,83.5
After (class='.item' + dummy div),1,Success,10,10,21,142.9
After (class='.item' + dummy div),2,Success,10,10,11,111.6
After (class='.item' + dummy div),3,Success,10,10,21,183.2
After (class='.item' + dummy div),4,Success,10,10,11,78.6
After (class='.item' + dummy div),5,Success,10,10,18,125.0
After (class='.item' + dummy div),6,Success,10,10,10,72.2
After (class='.item' + dummy div),7,Failed,0,0,21,170.7
After (class='.item' + dummy div),8,Failed,1,0,21,73.4
After (class='.item' + dummy div),9,Failed,0,0,21,61.8
After (class='.item' + dummy div),10,Success,10,10,21,165.1
